player_name,runs,balls,dismissals,sixes,fours,wickets,runs_conceded,balls_bowled
S Badrinath,1286,1122,41,24,137,0,0,0
Joginder Sharma,36,30,4,2,1,11,386,253
P Amarnath,0,0,0,0,0,7,241,132
MS Gony,99,75,10,8,6,34,1203,848
M Muralitharan,14,20,5,0,1,56,1589,1410
K Goel,199,218,14,9,16,0,94,67
JR Hopes,408,302,14,11,48,14,515,339
KC Sangakkara,1488,1271,54,23,174,0,0,0
SM Katich,207,162,9,7,23,0,0,0
P Dharmani,0,0,0,0,0,0,0,0
B Lee,99,90,9,6,6,22,1056,852
WA Mota,31,49,5,0,0,4,98,75
S Sreesanth,19,38,4,0,4,36,1146,870
T Kohli,11,20,3,1,0,0,0,0
M Kaif,190,193,15,5,13,0,0,0
DS Lehmann,18,19,2,0,3,0,0,0
M Rawat,49,58,4,1,4,0,0,0
D Salunkhe,33,24,2,0,5,1,80,51
SK Warne,188,205,19,6,14,51,1316,1094
SK Trivedi,42,59,6,1,3,52,1646,1303
V Sehwag,2529,1703,91,100,306,5,193,108
M Manhas,440,414,19,9,37,0,42,42
DL Vettori,114,113,7,2,11,28,806,713
MF Maharoof,148,98,9,9,12,23,461,378
B Geeves,0,0,0,0,0,1,91,49
GD McGrath,4,5,1,0,1,11,321,281
AC Gilchrist,1900,1432,69,85,218,1,0,1
Y Venugopal Rao,922,807,42,36,71,6,338,222
VVS Laxman,262,250,17,5,30,0,0,0
A Symonds,818,661,24,34,62,15,569,455
SB Styris,131,134,7,3,10,8,278,222
AS Yadav,49,40,5,2,5,0,0,0
SB Bangar,49,58,7,3,1,4,221,153
WPUJC Vaas,81,73,8,3,2,15,343,264
RP Singh,51,77,14,1,2,82,2208,1693
PP Ojha,16,45,12,0,0,80,2162,1740
DPMD Jayawardene,1573,1346,57,34,173,0,0,0
S Sohal,343,292,18,15,34,0,0,0
Kamran Akmal,128,78,5,8,13,0,0,0
Pankaj Singh,7,11,1,0,0,11,428,285
Shahid Afridi,81,46,8,6,7,9,237,185
Shoaib Malik,52,49,4,0,5,2,76,51
Mohammad Asif,3,6,2,0,0,7,273,174
